Name,FPS,Resolution,Length,In,Out
cam1-2022-04-16_15-00-14,25,1920x1080,53903,35,33
cam1-2022-05-08_14-00-40,25,1920x1080,53902,7,7
cam1-2022-04-03_14-00-19,25,1920x1080,53975,16,15
cam1-2022-04-13_15-00-26,25,1920x1080,24750,3,1
cam1-2022-04-02_15-00-07,25,1920x1080,53902,3,2
cam1-2022-05-08_16-00-46,25,1920x1080,53902,7,8
cam1-2022-03-25_13-00-43,25,1920x1080,53900,26,12
cam1-2022-04-03_16-00-24,25,1920x1080,53901,8,4
cam1-2022-04-16_14-00-11,25,1920x1080,53902,47,45
cam1-2022-04-03_15-00-21,25,1920x1080,53902,1,0
cam1-2022-05-07_14-00-27,25,1920x1080,53979,11,11
cam1-2022-05-07_17-00-36,25,1920x1080,26566,3,3
cam1-2022-04-16_16-00-17,25,1920x1080,53902,6,12
cam1-2022-04-10_15-00-46,25,1920x1080,53899,10,12
cam1-2022-04-10_14-00-44,25,1920x1080,53899,10,16
cam1-2022-05-07_16-00-33,25,1920x1080,53900,7,5
cam1-2022-05-08_15-00-43,25,1920x1080,53902,10,9
cam1-2023-01-15_13-00-41,25,1920x1080,53902,800,800
